regulator,gene_id,effect
SigA,BSU36380,sigma factor
SigA,BSU39470,sigma factor
SigA,BSU16430,sigma factor
SigA,BSU39690,sigma factor
SigA,BSU26310,sigma factor
SigA,BSU02620,sigma factor
SigA,BSU16160,sigma factor
SigA,BSU08190,sigma factor
SigA,BSU32430,sigma factor
SigA,BSU18840,sigma factor
SigA,BSU18440,sigma factor
SigA,new_2273724_2273988_c,sigma factor
SigA,BSU27890,sigma factor
SigA,BSU29679,sigma factor
SigA,BSU40310,sigma factor
SigA,BSU14150,sigma factor
SigA,BSU15560,sigma factor
SigA,BSU24600,sigma factor
SigA,BSU29380,sigma factor
SigA,BSU33500,sigma factor
SigA,BSU23120,sigma factor
SigA,BSU22470,sigma factor
SigA,BSU33440,sigma factor
SigA,BSU37740,sigma factor
SigA,BSU30290,sigma factor
SigA,BSU16270,sigma factor
SigA,BSU34730,sigma factor
SigA,BSU16300,sigma factor
SigA,BSU16460,sigma factor
SigA,BSU08660,sigma factor
SigA,BSU29400,sigma factor
SigA,BSU15490,sigma factor
SigA,BSU35900,sigma factor
SigA,BSU14600,sigma factor
SigA,BSU17580,sigma factor
SigA,BSU28520,sigma factor
SigA,BSU01960,sigma factor
SigA,BSU35180,sigma factor
SigA,BSU01360,sigma factor
SigA,BSU16410,sigma factor
SigA,BSU15940,sigma factor
SigA,BSU29730,sigma factor
SigA,BSU15920,sigma factor
SigA,BSU39720,sigma factor
